CustomerID,Tier,Retained,Age,Tenure,Monthly_Spend_IDR
B0116,Blue,0,29,3, Rp 2.066.536 
S0152,Silver,1,50,7, Rp 6.894.142 
S0581,Silver,1,24,3, Rp 7.337.412 
S0478,Silver,1,49,2, Rp 2.100.260 
G0108,Gold,1,53,14, Rp 7.491.589 
S0264,Silver,1,29,8, Rp 6.400.920 
B0833,Blue,1,33,2, Rp 2.154.674 
P0259,Platinum,0,56,3, Rp 20.471.338 
B0316,Blue,0,39,9, Rp 4.205.779 
S0796,Silver,1,63,9, Rp 4.643.058 
G0450,Gold,0,42,3, Rp 5.627.850 
P0086,Platinum,1,28,11, Rp 18.977.297 
B0335,Blue,0,60,1, Rp 3.436.155 
B0964,Blue,1,62,10, Rp 4.424.281 
S0945,Silver,1,60,1, Rp 2.581.773 
B0033,Blue,0,59,9, Rp 3.932.580 
B0640,Blue,0,30,6, Rp 2.111.637 
G0374,Gold,1,18,13, Rp 11.390.131 
B0851,Blue,1,35,1, Rp 1.390.436 
B1110,Blue,1,32,6, Rp 3.610.368 
S0353,Silver,0,52,6, Rp 2.778.079 
B0339,Blue,0,47,14, Rp 2.241.318 
B1034,Blue,1,24,12, Rp 1.992.369 
P0011,Platinum,1,55,6, Rp 16.555.901 
G0225,Gold,1,39,11, Rp 8.161.993 
S0318,Silver,1,57,7, Rp 5.768.725 
P0216,Platinum,0,64,8, Rp 13.720.472 
S0660,Silver,1,40,6, Rp 5.638.728 
S0976,Silver,0,28,3, Rp 4.337.561 
B0178,Blue,0,36,8, Rp 4.137.738 
B0069,Blue,0,46,10, Rp 2.445.705 
G0445,Gold,0,26,13, Rp 13.657.692 
B0315,Blue,1,40,2, Rp 3.711.489 
S0878,Silver,1,39,2, Rp 3.142.924 
G0494,Gold,1,29,14, Rp 7.920.685 
S0970,Silver,1,18,10, Rp 2.876.472 
B0231,Blue,0,58,8, Rp 4.190.779 
B0650,Blue,1,46,12, Rp 1.605.329 
S0765,Silver,1,19,6, Rp 5.942.788 
S0570,Silver,0,59,11, Rp 2.408.896 
B0848,Blue,0,64,7, Rp 3.619.130 
B0935,Blue,0,42,8, Rp 3.815.109 
B0074,Blue,0,21,4, Rp 2.906.832 
B0885,Blue,1,50,14, Rp 2.999.361 
B0897,Blue,1,18,11, Rp 1.743.723 
S0196,Silver,0,19,5, Rp 2.349.615 
S0708,Silver,0,34,12, Rp 5.653.078 
S0399,Silver,1,32,4, Rp 2.836.645 
G0162,Gold,1,60,4, Rp 12.080.823 
S0486,Silver,1,27,1, Rp 4.792.061 
S0499,Silver,0,36,10, Rp 3.299.478 
S0136,Silver,1,48,5, Rp 4.081.216 
B0476,Blue,0,59,4, Rp 4.337.203 
G0214,Gold,1,19,6, Rp 9.841.265 
P0133,Platinum,1,28,10, Rp 11.801.936 
P0206,Platinum,1,64,8, Rp 17.739.673 
S0409,Silver,0,53,13, Rp 3.869.199 
P0283,Platinum,1,27,2, Rp 13.229.752 
S0939,Silver,1,25,8, Rp 6.940.099 
S0418,Silver,0,18,10, Rp 5.645.731 
S0651,Silver,0,64,9, Rp 5.271.793 
B0401,Blue,1,62,6, Rp 4.324.958 
B0866,Blue,1,53,9, Rp 2.773.182 
P0109,Platinum,1,36,13, Rp 16.994.992 
G0066,Gold,1,24,14, Rp 7.893.540 
S0876,Silver,1,42,4, Rp 6.518.346 
B0923,Blue,0,19,13, Rp 3.299.531 
B1014,Blue,0,53,4, Rp 3.932.163 
S0903,Silver,0,64,9, Rp 6.100.343 
B0439,Blue,1,26,14, Rp 4.378.497 
B0834,Blue,0,24,7, Rp 3.202.941 
P0196,Platinum,1,43,3, Rp 7.752.109 
G0251,Gold,1,62,11, Rp 5.269.711 
B0731,Blue,0,54,13, Rp 802.805 
S0001,Silver,1,35,4, Rp 3.018.253 
B0463,Blue,0,59,7, Rp 3.093.139 
S0304,Silver,0,27,4, Rp 4.915.049 
B0104,Blue,0,41,3, Rp 2.786.000 
S0745,Silver,1,59,2, Rp 4.882.670 
P0181,Platinum,1,54,6, Rp 21.675.562 
B0277,Blue,0,62,4, Rp 3.971.318 
B0979,Blue,1,37,8, Rp 4.269.049 
B0415,Blue,1,59,3, Rp 3.213.922 
S0897,Silver,1,33,11, Rp 7.458.112 
G0163,Gold,1,58,11, Rp 13.549.689 
S0395,Silver,0,31,10, Rp 6.200.811 
B0406,Blue,1,51,1, Rp 3.372.739 
B0137,Blue,0,54,2, Rp 4.284.930 
S0459,Silver,0,27,13, Rp 4.580.538 
B0042,Blue,0,55,12, Rp 2.924.602 
B0574,Blue,0,56,6, Rp 2.006.975 
G0267,Gold,1,42,4, Rp 9.269.251 
B0861,Blue,0,61,13, Rp 1.103.948 
G0360,Gold,1,64,12, Rp 5.232.895 
S0887,Silver,1,61,14, Rp 6.662.584 
B0677,Blue,0,51,1, Rp 4.224.346 
B0182,Blue,0,32,8, Rp 1.763.052 
G0070,Gold,0,42,14, Rp 5.613.964 
S0293,Silver,0,21,8, Rp 6.385.767 
P0182,Platinum,1,55,3, Rp 8.224.078 
B0661,Blue,0,42,11, Rp 1.301.363 
P0175,Platinum,0,45,4, Rp 16.851.572 
G0128,Gold,1,62,12, Rp 9.575.723 
B0310,Blue,1,52,8, Rp 2.462.264 
S0917,Silver,0,61,2, Rp 5.533.641 
B0653,Blue,1,55,11, Rp 1.296.349 
B0836,Blue,0,36,5, Rp 988.086 
P0111,Platinum,0,19,7, Rp 11.145.029 
S0980,Silver,1,29,12, Rp 5.578.020 
G0424,Gold,1,30,1, Rp 5.687.056 
B0733,Blue,1,56,3, Rp 2.818.247 
P0247,Platinum,1,57,5, Rp 19.203.890 
P0137,Platinum,1,44,14, Rp 17.175.147 
S0121,Silver,1,63,10, Rp 4.299.965 
B0152,Blue,0,59,13, Rp 1.729.228 
S0975,Silver,1,24,7, Rp 3.169.078 
P0269,Platinum,0,48,10, Rp 12.536.799 
B0568,Blue,1,20,7, Rp 1.307.351 
S0783,Silver,1,48,10, Rp 5.678.076 
P0235,Platinum,0,61,3, Rp 8.488.933 
S0455,Silver,1,59,2, Rp 2.560.561 
B0770,Blue,0,64,2, Rp 4.418.431 
P0221,Platinum,1,47,2, Rp 19.718.307 
B0274,Blue,0,35,13, Rp 2.216.409 
P0132,Platinum,1,31,12, Rp 16.892.692 
B0828,Blue,0,63,5, Rp 901.260 
S0816,Silver,0,62,2, Rp 2.740.038 
G0104,Gold,0,50,2, Rp 8.988.829 
S0869,Silver,0,30,8, Rp 2.525.432 
S0511,Silver,0,59,7, Rp 3.798.377 
P0262,Platinum,1,30,10, Rp 20.513.359 
B0570,Blue,0,55,12, Rp 986.509 
P0038,Platinum,1,29,1, Rp 18.201.929 
B1097,Blue,1,47,12, Rp 861.215 
G0316,Gold,1,35,12, Rp 9.330.673 
B0606,Blue,1,58,9, Rp 3.337.058 
B0253,Blue,0,37,10, Rp 1.752.958 
S0140,Silver,1,26,12, Rp 6.841.885 
S0415,Silver,1,34,5, Rp 2.121.713 
G0051,Gold,0,46,1, Rp 14.325.367 
S0556,Silver,0,29,2, Rp 4.592.909 
S0780,Silver,1,41,1, Rp 5.824.022 
S0925,Silver,1,36,5, Rp 2.913.103 
G0173,Gold,1,50,1, Rp 7.709.309 
B0175,Blue,0,46,8, Rp 3.362.934 
P0101,Platinum,1,33,12, Rp 12.574.284 
B0518,Blue,0,36,3, Rp 2.324.365 
B1144,Blue,0,48,13, Rp 1.093.334 
B0864,Blue,0,50,8, Rp 3.730.986 
B0387,Blue,0,19,4, Rp 2.887.642 
G0254,Gold,1,36,9, Rp 12.270.187 
S0855,Silver,0,57,12, Rp 3.224.743 
G0038,Gold,1,40,10, Rp 12.778.195 
P0148,Platinum,0,27,6, Rp 10.403.151 
B0748,Blue,0,23,9, Rp 3.616.077 
G0293,Gold,1,40,4, Rp 9.331.230 
S0329,Silver,1,47,9, Rp 1.789.465 
B0509,Blue,1,23,13, Rp 1.744.855 
G0087,Gold,1,58,10, Rp 10.825.632 
B0837,Blue,0,19,4, Rp 3.954.394 
S0722,Silver,1,61,13, Rp 5.723.116 
B0531,Blue,1,53,1, Rp 1.887.756 
B0283,Blue,0,28,7, Rp 3.108.964 
G0217,Gold,1,57,1, Rp 7.919.873 
G0154,Gold,0,21,7, Rp 13.593.244 
S0957,Silver,1,43,3, Rp 4.314.618 
B0796,Blue,1,20,12, Rp 4.172.843 
P0280,Platinum,1,49,9, Rp 16.846.994 
P0179,Platinum,0,30,1, Rp 11.331.156 
S0733,Silver,1,59,10, Rp 1.757.617 
P0197,Platinum,1,47,4, Rp 15.303.190 
S0830,Silver,0,31,13, Rp 5.133.749 
S0695,Silver,0,56,3, Rp 6.907.940 
G0187,Gold,1,35,12, Rp 9.415.490 
S0350,Silver,0,34,1, Rp 3.507.944 
S0386,Silver,0,22,1, Rp 2.202.267 
B0697,Blue,0,39,1, Rp 2.519.756 
B0728,Blue,1,30,4, Rp 4.138.997 
S0681,Silver,1,48,5, Rp 2.552.332 
G0402,Gold,1,62,13, Rp 7.397.247 
B1107,Blue,1,24,11, Rp 1.796.409 
S0551,Silver,0,39,1, Rp 4.303.775 
B0080,Blue,0,56,10, Rp 4.039.349 
G0206,Gold,1,42,13, Rp 11.247.593 
P0009,Platinum,1,64,13, Rp 16.264.023 
P0097,Platinum,1,32,4, Rp 13.246.204 
B0927,Blue,1,32,6, Rp 1.512.397 
S0569,Silver,1,64,5, Rp 3.719.799 
S0930,Silver,1,30,1, Rp 7.187.338 
B1128,Blue,0,59,13, Rp 3.626.824 
G0423,Gold,1,19,9, Rp 14.102.525 
B1017,Blue,1,63,5, Rp 941.848 
S0616,Silver,1,36,5, Rp 3.690.490 
B0010,Blue,0,50,2, Rp 1.115.991 
S0623,Silver,1,37,12, Rp 1.609.232 
S0906,Silver,0,19,2, Rp 4.763.841 
S0125,Silver,1,60,6, Rp 3.681.338 
B0091,Blue,0,53,2, Rp 2.252.080 
S0950,Silver,0,36,1, Rp 2.423.744 
B0329,Blue,0,42,6, Rp 4.214.379 
S0640,Silver,0,60,6, Rp 3.098.759 
G0155,Gold,1,46,8, Rp 6.307.771 
S0564,Silver,0,33,8, Rp 4.626.612 
B0991,Blue,0,43,2, Rp 4.338.961 
B0100,Blue,0,23,3, Rp 4.043.275 
B0318,Blue,1,45,13, Rp 1.361.775 
G0157,Gold,0,44,3, Rp 13.717.397 
B0086,Blue,1,28,11, Rp 1.298.347 
B0446,Blue,1,26,11, Rp 2.762.695 
P0257,Platinum,1,47,13, Rp 9.398.432 
G0396,Gold,0,31,1, Rp 9.745.448 
B0536,Blue,0,33,14, Rp 2.761.157 
S0473,Silver,1,61,12, Rp 4.195.423 
S0624,Silver,0,42,1, Rp 2.271.409 
S0683,Silver,1,48,11, Rp 4.052.493 
G0095,Gold,1,47,11, Rp 13.664.717 
B0291,Blue,0,61,5, Rp 2.613.749 
B0346,Blue,0,38,10, Rp 1.656.804 
G0081,Gold,1,44,4, Rp 9.828.845 
S0833,Silver,0,31,6, Rp 5.374.865 
S0446,Silver,1,48,2, Rp 5.663.922 
S0330,Silver,0,26,7, Rp 3.729.738 
B0222,Blue,0,63,2, Rp 1.584.576 
B0665,Blue,1,38,4, Rp 4.437.628 
B0425,Blue,0,62,6, Rp 2.128.245 
B0300,Blue,0,29,5, Rp 2.909.768 
S0058,Silver,0,20,6, Rp 6.236.731 
B0924,Blue,1,53,5, Rp 4.491.063 
B0908,Blue,1,38,2, Rp 1.324.068 
S0226,Silver,0,61,10, Rp 7.462.135 
B0943,Blue,1,63,10, Rp 1.639.442 
B1058,Blue,1,30,12, Rp 1.357.407 
S0284,Silver,0,42,10, Rp 6.244.529 
S0967,Silver,1,55,5, Rp 6.137.740 
S0827,Silver,0,21,4, Rp 6.070.058 
S0734,Silver,1,44,14, Rp 4.067.917 
B0893,Blue,0,35,12, Rp 3.352.272 
B0919,Blue,1,44,7, Rp 3.789.103 
S0520,Silver,1,26,2, Rp 4.950.153 
P0191,Platinum,1,39,6, Rp 16.222.957 
B0478,Blue,0,53,8, Rp 4.185.002 
S0371,Silver,0,64,2, Rp 3.215.565 
B0526,Blue,0,61,14, Rp 3.919.120 
B0060,Blue,0,41,7, Rp 4.318.999 
B0788,Blue,1,34,3, Rp 3.326.339 
P0021,Platinum,1,30,3, Rp 21.832.766 
B0819,Blue,1,60,14, Rp 1.517.598 
B0399,Blue,1,53,5, Rp 1.041.545 
G0433,Gold,1,20,4, Rp 12.210.255 
B1174,Blue,1,38,7, Rp 3.581.131 
B1199,Blue,0,61,14, Rp 1.445.020 
B0386,Blue,0,31,14, Rp 3.188.134 
S0170,Silver,0,46,5, Rp 2.313.246 
B0686,Blue,0,33,2, Rp 3.856.061 
P0056,Platinum,1,46,1, Rp 13.837.181 
S0977,Silver,1,56,10, Rp 6.579.488 
P0080,Platinum,1,32,4, Rp 10.907.246 
B0655,Blue,1,25,3, Rp 2.188.975 
